,median,lower,upper,cases,one,hl-0.5,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0
2020-07-09,0.9619238476953907,0.5410821643286573,1.3827655310621243,197.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-10,1.002004008016032,0.5811623246492986,1.4228456913827654,202.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-11,1.002004008016032,0.5811623246492986,1.4228456913827654,200.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-12,1.0821643286573146,0.6813627254509018,1.503006012024048,208.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-13,1.0420841683366733,0.6212424849699398,1.442885771543086,207.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-14,1.0220440881763526,0.6212424849699398,1.442885771543086,204.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-15,0.8817635270541082,0.4609218436873747,1.3026052104208417,195.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-16,0.8416833667334669,0.42084168336673344,1.2625250501002003,190.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-17,0.8216432865731462,0.3807615230460922,1.2424849699398797,184.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-18,0.9819639278557114,0.5410821643286573,1.4028056112224447,193.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-19,1.062124248496994,0.6412825651302605,1.4829659318637274,198.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-20,1.1823647294589177,0.7615230460921844,1.6032064128256511,206.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-21,1.122244488977956,0.7014028056112224,1.5230460921843687,208.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-22,1.1422845691382766,0.7414829659318637,1.5430861723446894,216.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-23,1.122244488977956,0.721442885771543,1.5230460921843687,222.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-24,1.1422845691382766,0.7414829659318637,1.5430861723446894,227.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-25,1.1422845691382766,0.7414829659318637,1.5230460921843687,235.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-26,1.1623246492985972,0.781563126252505,1.5430861723446894,245.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-27,1.1422845691382766,0.7615230460921844,1.5230460921843687,247.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
